SA Professional Approach,SA Attitude And Friendliness,SA Product Knowledge,On The Promised Time,Completed First Time,SA Explained The Work ,Cleaned Properly ,NPS,Service Advisor,PLANT
10,10,10,10,10,10,10,10,Not Mentioned,Balagolla Branch
10,10,10,10,10,10,10,10,Not Mentioned,Balagolla Branch
10,10,10,10,10,10,10,10,Not Mentioned,Siyambalape Service Complex
10,10,10,10,10,10,10,10,Not Mentioned,Balagolla Branch
10,10,10,10,10,10,10,9,Not Mentioned,Rathmalana Branch
10,10,10,10,8,10,10,9,Not Mentioned,Siyambalape Service Complex
10,10,10,10,7,10,10,7,Not Mentioned,Anuradhapura Branch
10,10,10,10,10,10,10,9,Not Mentioned,Siyambalape Service Complex
10,10,10,10,10,10,10,8,Not Mentioned,Siyambalape Service Complex
10,10,10,10,10,10,10,8,Not Mentioned,Siyambalape Service Complex
10,10,10,10,10,10,10,10,Not Mentioned,Embilipitiya Branch
10,10,10,10,10,10,10,10,Not Mentioned,Embilipitiya Branch
10,10,10,10,10,10,10,10,Not Mentioned,Embilipitiya Branch
10,10,10,10,10,10,10,10,Not Mentioned,Embilipitiya Branch
10,10,10,10,10,10,10,9,Not Mentioned,Siyambalape Service Complex
9,9,9,9,9,9,9,9,Not Mentioned,Siyambalape Service Complex
9,9,9,9,9,9,9,9,Not Mentioned,Siyambalape Service Complex
9,9,9,9,9,9,9,9,Not Mentioned,Siyambalape Service Complex
9,9,9,9,9,9,9,9,Not Mentioned,Siyambalape Service Complex
9,9,9,9,9,9,9,9,Not Mentioned,Siyambalape Service Complex
9,9,9,6,9,9,9,8,Not Mentioned,Siyambalape Service Complex
9,9,9,6,9,9,9,8,Not Mentioned,Siyambalape Service Complex
9,9,9,6,9,9,9,8,Not Mentioned,Siyambalape Service Complex
8,8,8,8,8,8,8,8,Not Mentioned,Kurunegala Regional Centere
9,9,9,9,9,9,9,9,Not Mentioned,Siyambalape Service Complex
9,9,9,9,9,9,9,9,Not Mentioned,Siyambalape Service Complex
9,9,9,9,9,9,9,9,Not Mentioned,Balagolla Branch
9,9,9,9,9,9,9,9,Not Mentioned,Siyambalape Service Complex
9,9,9,9,9,9,9,5,Not Mentioned,Siyambalape Service Complex
9,9,9,9,9,9,9,9,Not Mentioned,Siyambalape Service Complex
5,5,5,5,5,5,5,5,Not Mentioned,Kuruwita Branch
9,9,9,9,9,9,9,9,Not Mentioned,Kurunegala Regional Centere
9,9,9,9,9,9,9,10,Not Mentioned,Matara Branch
9,9,9,9,9,9,9,10,Not Mentioned,Matara Branch
9,9,9,9,9,9,9,9,Not Mentioned,Siyambalape Service Complex
9,9,9,9,9,9,9,9,Not Mentioned,Siyambalape Service Complex
9,9,9,9,9,9,9,9,Not Mentioned,Siyambalape Service Complex
9,9,9,9,9,9,9,9,Not Mentioned,Siyambalape Service Complex
9,9,9,9,9,9,9,9,Not Mentioned,Siyambalape Service Complex
9,9,9,9,9,9,9,9,Not Mentioned,Siyambalape Service Complex
9,9,9,9,9,9,9,9,Not Mentioned,Siyambalape Service Complex
9,9,9,9,9,9,9,9,Not Mentioned,Siyambalape Service Complex
9,9,9,9,9,9,9,9,Not Mentioned,Siyambalape Service Complex
9,9,9,9,9,9,9,9,Not Mentioned,Siyambalape Service Complex
9,9,9,9,9,9,9,9,Not Mentioned,Batticoloa Branch
9,9,9,9,9,9,9,9,Not Mentioned,Balagolla Branch
9,9,9,9,9,9,9,9,Not Mentioned,Siyambalape Service Complex
9,9,9,9,9,9,9,9,Not Mentioned,Siyambalape Service Complex
9,9,9,9,9,9,9,9,Not Mentioned,Siyambalape Service Complex
9,9,9,9,9,9,9,9,Not Mentioned,Jaffna Branch
9,9,9,9,9,9,9,9,Not Mentioned,Siyambalape Service Complex
9,9,9,9,9,9,9,9,Not Mentioned,Siyambalape Service Complex
9,9,9,9,9,9,9,9,Not Mentioned,Siyambalape Service Complex
9,9,9,9,9,9,9,9,Not Mentioned,Siyambalape Service Complex
9,9,9,9,9,9,9,9,Not Mentioned,Siyambalape Service Complex
9,9,9,9,9,9,9,9,Not Mentioned,Kurunegala Regional Centere
9,9,9,9,9,7,10,9,Not Mentioned,Siyambalape Service Complex
9,9,9,9,9,9,9,9,Not Mentioned,Anuradhapura Branch
9,9,9,9,9,9,9,8,Not Mentioned,Rathmalana Branch
7,7,7,7,7,7,7,4,Not Mentioned,Siyambalape Service Complex
10,10,10,10,10,10,10,10,Not Mentioned,Siyambalape Service Complex
10,10,10,10,10,10,10,10,Not Mentioned,Siyambalape Service Complex
10,10,10,10,10,10,10,10,Not Mentioned,Siyambalape Service Complex
10,10,10,10,10,10,10,10,Not Mentioned,Siyambalape Service Complex
9,9,9,9,9,9,9,10,Not Mentioned,Siyambalape Service Complex
9,9,9,9,9,9,9,9,Not Mentioned,Batticoloa Branch
9,9,9,9,9,9,9,9,Not Mentioned,Siyambalape Service Complex
9,9,9,9,9,9,9,9,Not Mentioned,Siyambalape Service Complex
9,9,9,9,9,9,9,9,Not Mentioned,Siyambalape Service Complex
9,9,9,9,9,9,9,9,Not Mentioned,Siyambalape Service Complex
9,9,9,9,9,9,9,9,Not Mentioned,Siyambalape Service Complex
9,9,9,9,9,9,9,9,Not Mentioned,Siyambalape Service Complex
9,9,9,9,9,9,9,9,Not Mentioned,Siyambalape Service Complex
10,10,10,10,10,10,10,9,Not Mentioned,Siyambalape Service Complex
10,10,10,10,10,10,10,9,Not Mentioned,Siyambalape Service Complex
10,10,10,10,10,10,10,9,Not Mentioned,Siyambalape Service Complex
9,9,9,9,9,9,9,9,Not Mentioned,Mahiyangana Branch
9,9,9,9,9,9,9,9,Not Mentioned,Siyambalape Service Complex
9,9,9,9,9,9,9,9,Not Mentioned,Siyambalape Service Complex
9,9,9,9,9,9,9,9,Not Mentioned,Matara Branch
9,9,9,9,9,9,9,9,Not Mentioned,Tissamaharama Branch
9,9,9,9,9,9,9,9,Not Mentioned,Siyambalape Service Complex
9,9,9,9,9,9,9,9,Not Mentioned,Siyambalape Service Complex
9,9,9,9,9,9,9,9,Not Mentioned,Siyambalape Service Complex
9,9,9,9,9,9,9,9,Not Mentioned,Siyambalape Service Complex
9,9,9,9,9,9,9,9,Not Mentioned,Mathugama Branch
9,9,9,9,9,9,9,9,Not Mentioned,Siyambalape Service Complex
9,9,9,9,9,9,9,9,Not Mentioned,Rathmalana Branch
9,9,9,9,9,9,9,10,Not Mentioned,Anuradhapura Branch
10,10,10,10,10,10,10,10,Not Mentioned,Siyambalape Service Complex
10,10,10,10,10,10,10,10,Not Mentioned,Siyambalape Service Complex
10,10,10,10,10,10,10,10,Not Mentioned,Siyambalape Service Complex
9,9,9,9,9,9,9,9,Not Mentioned,Rathmalana Branch
9,9,9,9,9,9,9,9,Not Mentioned,Kurunegala Regional Centere
6,6,6,6,6,6,6,6,Not Mentioned,Batticoloa Branch
6,6,6,6,6,6,6,6,Not Mentioned,Siyambalape Service Complex
7,7,7,7,7,7,7,7,Not Mentioned,Siyambalape Service Complex
8,8,8,8,8,8,8,8,Not Mentioned,Anuradhapura Branch
8,8,8,8,8,8,8,5,Not Mentioned,Matara Branch
8,8,8,8,8,8,8,8,Not Mentioned,Siyambalape Service Complex
9,9,9,9,9,9,9,9,Not Mentioned,Anuradhapura Branch
9,9,9,9,9,9,9,9,Not Mentioned,Kurunegala Regional Centere
9,9,9,9,9,9,9,9,Not Mentioned,Siyambalape Service Complex
9,9,9,7,9,9,9,9,Not Mentioned,Matara Branch
9,9,9,9,9,9,9,9,Not Mentioned,Tissamaharama Branch
9,9,9,9,9,9,9,9,Not Mentioned,Matara Branch
8,8,8,5,8,8,8,8,Not Mentioned,Siyambalape Service Complex
9,9,9,9,9,9,9,9,Not Mentioned,Matara Branch
9,9,9,9,9,9,9,10,Not Mentioned,Matara Branch
9,9,9,9,9,9,9,10,Not Mentioned,Batticoloa Branch
9,9,9,9,9,9,9,10,Not Mentioned,Jaffna Branch
9,9,9,9,9,9,9,10,Not Mentioned,Jaffna Branch
6,6,3,0,5,5,5,5,Not Mentioned,Jaffna Branch
9,9,9,9,9,9,9,10,Not Mentioned,Vavuniya Branch
6,6,6,6,6,6,6,6,Not Mentioned,Rathmalana Branch
9,9,9,9,9,9,9,7,Not Mentioned,Batticoloa Branch
9,9,9,9,9,9,9,9,Not Mentioned,Jaffna Branch
9,9,9,9,9,9,9,9,Not Mentioned,Kurunegala Regional Centere
9,9,9,9,9,9,9,9,Not Mentioned,Rathmalana Branch
9,9,9,9,9,9,9,9,Not Mentioned,Kurunegala Regional Centere
9,9,9,9,9,9,9,9,Not Mentioned,Kurunegala Regional Centere
7,7,7,7,7,7,7,7,Not Mentioned,Matara Branch
9,9,9,9,9,9,9,9,Not Mentioned,Tissamaharama Branch
9,9,9,9,9,9,9,9,Not Mentioned,Siyambalape Service Complex
6,6,6,6,6,6,6,6,Not Mentioned,Anuradhapura Branch
9,9,9,9,9,9,9,9,Not Mentioned,Siyambalape Service Complex
9,9,9,9,9,9,9,9,Not Mentioned,Siyambalape Service Complex
9,9,9,9,9,9,9,9,Not Mentioned,Siyambalape Service Complex
9,9,9,9,9,9,9,9,Not Mentioned,Matara Branch
9,9,9,9,9,9,9,9,Not Mentioned,Siyambalape Service Complex
6,6,6,6,6,6,6,6,Not Mentioned,Vavuniya Branch
9,9,9,9,9,9,9,9,Not Mentioned,Siyambalape Service Complex
9,9,9,9,9,9,9,9,Not Mentioned,Siyambalape Service Complex
9,9,9,9,9,9,9,9,Not Mentioned,Anuradhapura Branch
9,9,9,9,9,9,9,9,Not Mentioned,Anuradhapura Branch
9,9,9,9,9,9,9,9,Not Mentioned,Tissamaharama Branch
9,9,9,9,9,9,9,9,Not Mentioned,Kuruwita Branch
9,9,9,9,9,9,9,9,Not Mentioned,Kuruwita Branch
9,9,9,9,9,9,9,9,Not Mentioned,Matara Branch
9,9,9,9,9,9,9,9,Not Mentioned,Siyambalape Service Complex
9,9,9,9,9,9,9,9,Not Mentioned,Batticoloa Branch
9,9,9,9,9,9,9,9,Not Mentioned,Anuradhapura Branch
9,9,9,9,9,9,9,9,Not Mentioned,Matara Branch
9,9,9,9,9,9,9,9,Not Mentioned,Siyambalape Service Complex
9,9,9,9,9,9,9,9,Not Mentioned,Jaffna Branch
10,10,10,10,10,10,10,10,Not Mentioned,Rathmalana Branch
10,10,10,10,10,10,10,10,Not Mentioned,Siyambalape Service Complex
10,10,10,10,10,10,10,10,Not Mentioned,Siyambalape Service Complex
10,10,10,10,10,10,10,10,Not Mentioned,Kurunegala Regional Centere
7,7,7,7,7,7,7,7,Not Mentioned,Anuradhapura Branch
9,9,9,9,9,9,9,9,Not Mentioned,Matara Branch
9,9,9,9,9,9,9,9,Not Mentioned,Kurunegala Regional Centere
1,1,1,1,1,1,0,1,Not Mentioned,Kurunegala Regional Centere
9,9,9,9,9,9,9,9,Not Mentioned,Matara Branch
9,9,9,9,9,9,9,9,Not Mentioned,Rathmalana Branch
9,9,9,9,9,9,9,10,Not Mentioned,Tissamaharama Branch
9,9,9,9,9,9,9,10,Not Mentioned,Anuradhapura Branch
9,9,9,9,9,9,9,10,Not Mentioned,Anuradhapura Branch
9,9,10,9,9,9,9,10,Not Mentioned,Kuruwita Branch
8,8,9,9,9,9,9,8,Not Mentioned,Mathugama Branch
9,9,9,9,9,9,9,10,Not Mentioned,Siyambalape Service Complex
7,7,6,8,5,7,7,7,Not Mentioned,Siyambalape Service Complex
9,9,9,9,9,9,9,9,Not Mentioned,Embilipitiya Branch
7,8,8,8,10,10,10,10,Not Mentioned,Puttlam Branch
9,9,9,9,9,9,9,9,Not Mentioned,Tissamaharama Branch
10,10,10,10,10,10,10,10,Not Mentioned,Balagolla Branch
7,7,4,4,7,5,6,5,Not Mentioned,Siyambalape Service Complex
10,10,10,10,10,10,10,10,Not Mentioned,Siyambalape Service Complex
9,9,9,9,9,9,9,9,Not Mentioned,Kurunegala Regional Centere
9,9,9,5,9,9,9,10,Not Mentioned,Siyambalape Service Complex
10,10,10,10,10,10,10,10,Not Mentioned,Siyambalape Service Complex
9,9,9,9,9,9,9,9,Not Mentioned,Siyambalape Service Complex
10,10,10,10,10,10,10,10,Not Mentioned,Siyambalape Service Complex
9,9,9,9,9,9,9,9,Not Mentioned,Siyambalape Service Complex
8,8,8,8,8,8,8,8,Not Mentioned,Matara Branch
10,10,10,10,10,10,10,10,Not Mentioned,Rathmalana Branch
10,10,10,10,10,10,10,10,Not Mentioned,Rathmalana Branch
10,10,10,10,10,10,10,10,Not Mentioned,Siyambalape Service Complex
10,10,10,10,10,10,10,10,Not Mentioned,Anuradhapura Branch
