SA Professional Approach,SA Attitude And Friendliness,SA Product Knowledge,On The Promised Time,Completed First Time,SA Explain The Work ,Cleaned Properly,Concern,Overall Evaluation
10,10,10,10,10,10,10,NO,10
10,10,10,10,10,10,10,NO,10
10,10,10,10,10,10,10,NO,10
10,10,10,10,10,10,10,NO,10
10,10,10,10,10,10,10,NO,10
10,10,10,10,8,10,10,NO,10
10,10,10,10,7,10,10,NO,10
10,10,10,10,10,10,10,NO,10
10,10,10,10,10,10,10,NO,10
10,10,10,10,10,10,10,NO,10
10,10,10,10,10,10,10,NO,10
10,10,10,10,10,10,10,NO,10
10,10,10,10,10,10,10,NO,10
10,10,10,10,10,10,10,NO,10
10,10,10,10,10,10,10,NO,10
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,6,9,9,9,NO,9
9,9,9,6,9,9,9,NO,9
9,9,9,6,9,9,9,NO,9
8,8,8,8,8,8,8,YES,8
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
5,5,5,5,5,5,5,YES,5
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,7,10,NO,10
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
7,7,7,7,7,7,7,YES,2
10,10,10,10,10,10,10,NO,10
10,10,10,10,10,10,10,NO,10
10,10,10,10,10,10,10,NO,10
10,10,10,10,10,10,10,NO,10
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
10,10,10,10,10,10,10,NO,10
10,10,10,10,10,10,10,NO,10
10,10,10,10,10,10,10,NO,10
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
10,10,10,10,10,10,10,NO,10
10,10,10,10,10,10,10,NO,10
10,10,10,10,10,10,10,NO,10
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
6,6,6,6,6,6,6,YES,6
6,6,6,6,6,6,6,YES,6
7,7,7,7,7,7,7,YES,7
8,8,8,8,8,8,8,YES,8
8,8,8,8,8,8,8,YES,8
8,8,8,8,8,8,8,YES,8
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,7,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
8,8,8,5,8,8,8,YES,8
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
6,6,3,0,5,5,5,YES,5
9,9,9,9,9,9,9,NO,9
6,6,6,6,6,6,6,YES,6
9,9,9,9,9,9,9,YES,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
7,7,7,7,7,7,7,YES,7
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
6,6,6,6,6,6,6,YES,6
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
6,6,6,6,6,6,6,YES,6
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
10,10,10,10,10,10,10,NO,10
10,10,10,10,10,10,10,NO,10
10,10,10,10,10,10,10,NO,10
10,10,10,10,10,10,10,NO,10
7,7,7,7,7,7,7,YES,7
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
1,1,1,1,1,1,0,YES,1
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,9,9,9,9,9,NO,9
9,9,10,9,9,9,9,NO,9
8,8,9,9,9,9,9,YES,9
9,9,9,9,9,9,9,NO,9
7,7,6,8,5,7,7,YES,7
9,9,9,9,9,9,9,NO,9
7,8,8,8,10,10,10,NO,9
9,9,9,9,9,9,9,NO,9
10,10,10,10,10,10,10,NO,10
7,7,4,4,7,5,6,YES,7
10,10,10,10,10,10,10,NO,10
9,9,9,9,9,9,9,NO,9
9,9,9,5,9,9,9,NO,9
10,10,10,10,10,10,10,NO,10
