SA Professional Approach,SA Attitude And Friendliness,SA Product Knowledge,On The Promised Time,Completed First Time,SA Explain The Work ,Cleaned Properly,Overall Evaluation,Concern_YES
10,10,10.0,10,10,10,10,10,False
10,10,10.0,10,10,10,10,10,False
10,10,10.0,10,10,10,10,10,False
10,10,10.0,10,10,10,10,10,False
10,10,10.0,10,10,10,10,10,False
10,10,10.0,10,8,10,10,10,False
10,10,10.0,10,7,10,10,10,False
10,10,10.0,10,10,10,10,10,False
10,10,10.0,10,10,10,10,10,False
10,10,10.0,10,10,10,10,10,False
10,10,10.0,10,10,10,10,10,False
10,10,10.0,10,10,10,10,10,False
10,10,10.0,10,10,10,10,10,False
10,10,10.0,10,10,10,10,10,False
10,10,10.0,10,10,10,10,10,False
9,9,9.0,9,9,9,9,9,False
9,9,9.0,9,9,9,9,9,False
9,9,9.0,9,9,9,9,9,False
9,9,9.0,9,9,9,9,9,False
9,9,9.0,9,9,9,9,9,False
9,9,9.0,6,9,9,9,9,False
9,9,9.0,6,9,9,9,9,False
9,9,9.0,6,9,9,9,9,False
8,8,8.0,8,8,8,8,8,True
9,9,9.0,9,9,9,9,9,False
9,9,9.0,9,9,9,9,9,False
9,9,9.0,9,9,9,9,9,False
9,9,9.0,9,9,9,9,9,False
9,9,9.0,9,9,9,9,9,False
9,9,9.0,9,9,9,9,9,False
5,5,5.0,5,5,5,5,5,True
9,9,9.0,9,9,9,9,9,False
9,9,9.0,9,9,9,9,9,False
9,9,9.0,9,9,9,9,9,False
9,9,9.0,9,9,9,9,9,False
9,9,9.0,9,9,9,9,9,False
9,9,9.0,9,9,9,9,9,False
9,9,9.0,9,9,9,9,9,False
9,9,9.0,9,9,9,9,9,False
9,9,9.0,9,9,9,9,9,False
9,9,9.0,9,9,9,9,9,False
9,9,9.0,9,9,9,9,9,False
9,9,9.0,9,9,9,9,9,False
9,9,9.0,9,9,9,9,9,False
9,9,9.0,9,9,9,9,9,False
9,9,9.0,9,9,9,9,9,False
9,9,9.0,9,9,9,9,9,False
9,9,9.0,9,9,9,9,9,False
9,9,9.0,9,9,9,9,9,False
9,9,9.0,9,9,9,9,9,False
9,9,9.0,9,9,9,9,9,False
9,9,9.0,9,9,9,9,9,False
9,9,9.0,9,9,9,9,9,False
9,9,9.0,9,9,9,9,9,False
9,9,9.0,9,9,9,9,9,False
9,9,9.0,9,9,9,9,9,False
9,9,9.0,9,9,7,10,10,False
9,9,9.0,9,9,9,9,9,False
9,9,9.0,9,9,9,9,9,False
7,7,7.0,7,7,7,7,2,True
10,10,10.0,10,10,10,10,10,False
10,10,10.0,10,10,10,10,10,False
10,10,10.0,10,10,10,10,10,False
10,10,10.0,10,10,10,10,10,False
9,9,9.0,9,9,9,9,9,False
9,9,9.0,9,9,9,9,9,False
9,9,9.0,9,9,9,9,9,False
9,9,9.0,9,9,9,9,9,False
9,9,9.0,9,9,9,9,9,False
9,9,9.0,9,9,9,9,9,False
9,9,9.0,9,9,9,9,9,False
9,9,9.0,9,9,9,9,9,False
9,9,9.0,9,9,9,9,9,False
10,10,10.0,10,10,10,10,10,False
10,10,10.0,10,10,10,10,10,False
10,10,10.0,10,10,10,10,10,False
9,9,9.0,9,9,9,9,9,False
9,9,9.0,9,9,9,9,9,False
9,9,9.0,9,9,9,9,9,False
9,9,9.0,9,9,9,9,9,False
9,9,9.0,9,9,9,9,9,False
9,9,9.0,9,9,9,9,9,False
9,9,9.0,9,9,9,9,9,False
9,9,9.0,9,9,9,9,9,False
9,9,9.0,9,9,9,9,9,False
9,9,9.0,9,9,9,9,9,False
9,9,9.0,9,9,9,9,9,False
9,9,9.0,9,9,9,9,9,False
9,9,9.0,9,9,9,9,9,False
10,10,10.0,10,10,10,10,10,False
10,10,10.0,10,10,10,10,10,False
10,10,10.0,10,10,10,10,10,False
9,9,9.0,9,9,9,9,9,False
9,9,9.0,9,9,9,9,9,False
6,6,6.0,6,6,6,6,6,True
6,6,6.0,6,6,6,6,6,True
7,7,7.0,7,7,7,7,7,True
8,8,8.0,8,8,8,8,8,True
8,8,8.0,8,8,8,8,8,True
8,8,8.0,8,8,8,8,8,True
9,9,9.0,9,9,9,9,9,False
9,9,9.0,9,9,9,9,9,False
9,9,9.0,9,9,9,9,9,False
9,9,9.0,7,9,9,9,9,False
9,9,9.0,9,9,9,9,9,False
9,9,9.0,9,9,9,9,9,False
8,8,8.0,5,8,8,8,8,True
9,9,9.0,9,9,9,9,9,False
9,9,9.0,9,9,9,9,9,False
